2026-04-01T23:54:32.378202278Z [inf]  🌐 HTTP health-check server started on port 8080
2026-04-01T23:54:32.646472218Z [inf]  Starting Container
2026-04-01T23:54:33.606700020Z [inf]  🤖 البوت يعمل... OWNER_ID=8312427070 | أرسل /start في تيليجرام للبدء.
2026-04-02T00:00:52.629886831Z [inf]  Please enter your phone (or bot token): Please enter your phone (or bot token): Please enter your phone (or bot token): channel_setup: admin sessions/967774221636 failed to add account, trying next: EOF when reading a line
2026-04-02T00:00:54.528789272Z [inf]  channel_setup: invite 8307269587 to channels failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:00:54.528793875Z [inf]  channel_setup: promote 8307269587 in channels failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:00:54.528797491Z [inf]  channel_setup: invite 8307269587 to groups failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:00:54.528800913Z [inf]  channel_setup: promote 8307269587 in groups failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:00:55.557330445Z [inf]  channel_setup: promote 8307269587 in broken failed: Invalid object ID for a user. Make sure to pass the right types, for instance making sure that the request is designed for users or otherwise look for a different one more suited (caused by EditAdminRequest)
2026-04-02T00:00:55.582162197Z [inf]  channel_setup: invite 8307269587 to invite failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:00:55.594295884Z [inf]  channel_setup: promote 8307269587 in invite failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:00:55.619212198Z [inf]  channel_setup: invite 8307269587 to addlist failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:00:55.633488912Z [inf]  channel_setup: promote 8307269587 in addlist failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:00:55.659614892Z [inf]  channel_setup: invite 8307269587 to bots failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:00:55.668307905Z [inf]  channel_setup: promote 8307269587 in bots failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:00:55.702295019Z [inf]  channel_setup: invite 8307269587 to other failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:00:55.718828639Z [inf]  channel_setup: promote 8307269587 in other failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:00:55.842692344Z [inf]  Please enter your phone (or bot token): channel_setup: admin sessions/967774221636 failed to add account, trying next: EOF when reading a line
2026-04-02T00:00:56.779974622Z [inf]  channel_setup: invite 8562416903 to channels failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
